Movie,Co-Producing Countries,Genre,Production Budget ($),Worldwide Box Office to Date ($),Trailer
Save Yourselves!,United States,Comedy,21500000.0,301162,No Trailer
Dreamkatcher,United States,Horror,21500000.0,287889,No Trailer
Created Equal: Clarence Thomas in His Own Words,United States,Documentary,21500000.0,282149,No Trailer
Norm of the North: Family Vacation,United States,Adventure,21500000.0,281996,No Trailer
The Bee Gees: How Can You Mend a Broken Heart,United States,Documentary,21500000.0,280111,No Trailer
Swallow,"France,United States",Thriller/Suspense,21500000.0,276781,No Trailer
Wendy,United States,Drama,21500000.0,267124,https://www.the-numbers.com/movie/Wendy-(2020)#tab=trailer
The Wolf of Snow Hollow,United States,Horror,21500000.0,266963,No Trailer
American Utopia,United States,Documentary,21500000.0,257905,No Trailer
"Endings, Beginnings","Republic of Korea,United States",Drama,21500000.0,256703,No Trailer
Sea Fever,"Belgium,Ireland,Sweden,United Kingdom,United States",Horror,21500000.0,254911,No Trailer
The Night Clerk,United States,Thriller/Suspense,21500000.0,245208,No Trailer
Archive,"Hungary,United Kingdom,United States",Documentary,21500000.0,244089,No Trailer
Into America’s Wild,United States,Documentary,21500000.0,242599,No Trailer
Dreamland,United States,Thriller/Suspense,21500000.0,241012,No Trailer
Survive the Night,United States,Action,21500000.0,230509,No Trailer
Death of Me,United States,Horror,21500000.0,225968,No Trailer
Zappa,United States,Documentary,21500000.0,211552,No Trailer
Feel the Beat,United States,Drama,21500000.0,207678,No Trailer
Stevie Nicks 24 Karat Gold the Concert,United States,Concert/Performance,21500000.0,203443,No Trailer
Always & Forever,United States,Thriller/Suspense,21500000.0,197463,No Trailer
Oliver Sacks: His Own Life,United States,Documentary,21500000.0,196926,No Trailer
Ottolenghi and the Cakes of Versailles,United States,Documentary,21500000.0,194149,No Trailer
The Prom,United States,Musical,21500000.0,191874,No Trailer
Deadly Illusions,United States,Thriller/Suspense,21500000.0,188864,No Trailer
The Doors: Break on Thru — A Celebration of Ray Manzarek,United States,Documentary,21500000.0,186920,No Trailer
We Summon the Darkness,United States,Horror,21500000.0,181707,No Trailer
Inheritance,United States,Thriller/Suspense,21500000.0,180488,No Trailer
The Booksellers,United States,Documentary,21500000.0,177174,No Trailer
The Silencing,"Canada,United States",Thriller/Suspense,21500000.0,170653,No Trailer
Skylines,United States,Action,21500000.0,170581,No Trailer
Paw Patrol 10,"Canada,United States",Adventure,21500000.0,165513,No Trailer
Nuh Tepesi,"Germany,Turkey,United States",Drama,21500000.0,163371,No Trailer
The Doorman,United States,Action,21500000.0,148751,No Trailer
Only,United States,Drama,21500000.0,148740,No Trailer
Saint Frances,United States,Multiple Genres,21500000.0,142198,No Trailer
The Dawn,United States,Horror,21500000.0,140710,No Trailer
Sator,United States,Horror,21500000.0,139094,No Trailer
Who Will Write Our History,United States,Documentary,21500000.0,138868,No Trailer
Beneath Us,United States,Horror,21500000.0,137260,No Trailer
The Times of Bill Cunningham,United States,Documentary,21500000.0,134288,No Trailer
Archenemy,United States,Action,21500000.0,122534,No Trailer
The Trial of the Chicago 7,United States,Drama,35000000.0,116473,No Trailer
The Dissident,United States,Documentary,21500000.0,111698,No Trailer
Arkansas,United States,Thriller/Suspense,21500000.0,109277,https://www.the-numbers.com/movie/Arkansas#tab=trailer
Before the Wrath,United States,Documentary,21500000.0,108998,No Trailer
Bloody Hell,"Australia,United States",Horror,21500000.0,107942,No Trailer
The Roads Not Taken,"United Kingdom,United States",Drama,21500000.0,105413,No Trailer
The Killing of Two Lovers,United States,Drama,32000.0,105195,No Trailer
Mank,United States,Drama,21500000.0,100072,No Trailer
The Beach House,United States,Horror,21500000.0,92364,No Trailer
Lowdown Dirty Criminals,United States,Comedy,21500000.0,90899,No Trailer
First Lady,United States,Romantic Comedy,21500000.0,89885,No Trailer
Max Winslow and the House of Secrets,United States,Thriller/Suspense,21500000.0,89519,No Trailer
Lost Girls and Love Hotels,"Japan,United States",Drama,21500000.0,83257,No Trailer
Lucky Grandma,United States,Comedy,21500000.0,82548,No Trailer
The Cleansing Hour,United States,Horror,21500000.0,82216,No Trailer
2020 Banff Mountain Film Festival,United States,Multiple Genres,21500000.0,80428,No Trailer
Chick Fight,United States,Action,21500000.0,76774,No Trailer
The Midnight Sky,United States,Adventure,100000000.0,75615,No Trailer
Pray: The Story of Patrick Peyton,United States,Documentary,21500000.0,72347,No Trailer
Assassins,United States,Documentary,21500000.0,67866,No Trailer
My Little Pony: Rainbow Roadtrip,"Canada,Ireland,United States",Adventure,21500000.0,63890,No Trailer
My Brothers’ Crossing,United States,Drama,21500000.0,59390,No Trailer
House of Cardin,"France,United States",Documentary,21500000.0,57347,No Trailer
Shark School,United States,Adventure,21500000.0,55414,No Trailer
Come As You Are,United States,Comedy,21500000.0,55047,No Trailer
A Simple Wedding,United States,Romantic Comedy,21500000.0,54415,No Trailer
